Instance;min sol
12x4_5_U_1_100__R_inter;78
12x4_5_U_1_100__R_uni;61
12x4_5_U_10_100__R_inter;102
12x4_5_U_10_100__R_uni;78
12x4_5_U_100_200__R_inter;383
12x4_5_U_100_200__R_uni;359
12x6_1_JobCorre_R_inter;145
12x6_1_JobCorre_R_uni;146
12x6_1_MachCorre_R_inter;62
12x6_1_MachCorre_R_uni;63
12x6_1_U_1_100__R_inter;49
12x6_1_U_1_100__R_uni;57
12x6_1_U_10_100__R_inter;57
12x6_1_U_10_100__R_uni;61
12x6_1_U_100_200__R_inter;250
12x6_1_U_100_200__R_uni;263
12x6_2_JobCorre_R_inter;107
12x6_2_JobCorre_R_uni;104
12x6_2_MachCorre_R_inter;145
12x6_2_MachCorre_R_uni;95
12x6_2_U_1_100__R_inter;54
12x6_2_U_1_100__R_uni;28
12x6_2_U_10_100__R_inter;61
12x6_2_U_10_100__R_uni;45
12x6_2_U_100_200__R_inter;260
12x6_2_U_100_200__R_uni;265
12x6_3_JobCorre_R_inter;141
12x6_3_JobCorre_R_uni;137
12x6_3_MachCorre_R_inter;58
12x6_3_MachCorre_R_uni;89
12x6_3_U_1_100__R_inter;57
12x6_3_U_1_100__R_uni;55
12x6_3_U_10_100__R_inter;71
12x6_3_U_10_100__R_uni;68
12x6_3_U_100_200__R_inter;281
12x6_3_U_100_200__R_uni;267
12x6_4_JobCorre_R_inter;167
12x6_4_JobCorre_R_uni;155
12x6_4_MachCorre_R_inter;52
12x6_4_MachCorre_R_uni;104
12x6_4_U_1_100__R_inter;44
12x6_4_U_1_100__R_uni;54
12x6_4_U_10_100__R_inter;54
12x6_4_U_10_100__R_uni;74
12x6_4_U_100_200__R_inter;249
12x6_4_U_100_200__R_uni;282
12x6_5_JobCorre_R_inter;159
12x6_5_JobCorre_R_uni;103
12x6_5_MachCorre_R_inter;187
12x6_5_MachCorre_R_uni;107
12x6_5_U_1_100__R_inter;51
12x6_5_U_1_100__R_uni;52
12x6_5_U_10_100__R_inter;65
12x6_5_U_10_100__R_uni;64
12x6_5_U_100_200__R_inter;251
12x6_5_U_100_200__R_uni;252
16x2_1_JobCorre_R_inter;561
16x2_1_JobCorre_R_uni;494
16x2_1_MachCorre_R_inter;421
16x2_1_MachCorre_R_uni;559
16x2_1_U_1_100__R_inter;332
16x2_1_U_1_100__R_uni;264
16x2_1_U_10_100__R_inter;357
16x2_1_U_10_100__R_uni;326
16x2_1_U_100_200__R_inter;1063
16x2_1_U_100_200__R_uni;1182
16x2_2_JobCorre_R_inter;422
16x2_2_JobCorre_R_uni;506
16x2_2_MachCorre_R_inter;1342
16x2_2_MachCorre_R_uni;368
16x2_2_U_1_100__R_inter;413
16x2_2_U_1_100__R_uni;289
16x2_2_U_10_100__R_inter;447
16x2_2_U_10_100__R_uni;340
16x2_2_U_100_200__R_inter;1208
16x2_2_U_100_200__R_uni;1100
16x2_3_JobCorre_R_inter;472
16x2_3_JobCorre_R_uni;545
16x2_3_MachCorre_R_inter;230
16x2_3_MachCorre_R_uni;220
16x2_3_U_1_100__R_inter;381
16x2_3_U_1_100__R_uni;276
16x2_3_U_10_100__R_inter;410
16x2_3_U_10_100__R_uni;322
16x2_3_U_100_200__R_inter;1110
16x2_3_U_100_200__R_uni;1070
16x2_4_JobCorre_R_inter;560
16x2_4_JobCorre_R_uni;440
16x2_4_MachCorre_R_inter;588
16x2_4_MachCorre_R_uni;213
16x2_4_U_1_100__R_inter;213
16x2_4_U_1_100__R_uni;325
16x2_4_U_10_100__R_inter;259
16x2_4_U_10_100__R_uni;372
16x2_4_U_100_200__R_inter;1005
16x2_4_U_100_200__R_uni;1158
16x2_5_JobCorre_R_inter;596
16x2_5_JobCorre_R_uni;358
16x2_5_MachCorre_R_inter;488
16x2_5_MachCorre_R_uni;660
16x2_5_U_1_100__R_inter;444
16x2_5_U_1_100__R_uni;251
16x2_5_U_10_100__R_inter;459
16x2_5_U_10_100__R_uni;305
16x2_5_U_100_200__R_inter;1126
16x2_5_U_100_200__R_uni;1064
16x4_1_JobCorre_R_inter;301
16x4_1_JobCorre_R_uni;216
16x4_1_MachCorre_R_inter;181
16x4_1_MachCorre_R_uni;140
16x4_1_U_1_100__R_inter;80
16x4_1_U_1_100__R_uni;90
16x4_1_U_10_100__R_inter;109
16x4_1_U_10_100__R_uni;121
16x4_1_U_100_200__R_inter;488
16x4_1_U_100_200__R_uni;508
16x4_2_JobCorre_R_inter;229
16x4_2_JobCorre_R_uni;253
16x4_2_MachCorre_R_inter;144
16x4_2_MachCorre_R_uni;222
16x4_2_U_1_100__R_inter;107
16x4_2_U_1_100__R_uni;117
16x4_2_U_10_100__R_inter;135
16x4_2_U_10_100__R_uni;148
16x4_2_U_100_200__R_inter;504
16x4_2_U_100_200__R_uni;533
16x4_3_JobCorre_R_inter;273
16x4_3_JobCorre_R_uni;227
16x4_3_MachCorre_R_inter;233
16x4_3_MachCorre_R_uni;85
16x4_3_U_1_100__R_inter;100
16x4_3_U_1_100__R_uni;82
16x4_3_U_10_100__R_inter;130
16x4_3_U_10_100__R_uni;118
16x4_3_U_100_200__R_inter;510
16x4_3_U_100_200__R_uni;505
16x4_4_JobCorre_R_inter;245
16x4_4_JobCorre_R_uni;193
16x4_4_MachCorre_R_inter;158
16x4_4_MachCorre_R_uni;114
16x4_4_U_1_100__R_inter;113
16x4_4_U_1_100__R_uni;74
16x4_4_U_10_100__R_inter;141
16x4_4_U_10_100__R_uni;114
16x4_4_U_100_200__R_inter;563
16x4_4_U_100_200__R_uni;549
16x4_5_JobCorre_R_inter;218
16x4_5_JobCorre_R_uni;252
16x4_5_MachCorre_R_inter;130
16x4_5_MachCorre_R_uni;183
16x4_5_U_1_100__R_inter;87
16x4_5_U_1_100__R_uni;106
16x4_5_U_10_100__R_inter;114
16x4_5_U_10_100__R_uni;128
16x4_5_U_100_200__R_inter;504
16x4_5_U_100_200__R_uni;512
16x6_1_JobCorre_R_inter;141
16x6_1_JobCorre_R_uni;147
16x6_1_MachCorre_R_inter;123
16x6_1_MachCorre_R_uni;115
16x6_1_U_1_100__R_inter;66
16x6_1_U_1_100__R_uni;62
16x6_1_U_10_100__R_inter;85
16x6_1_U_10_100__R_uni;82
16x6_1_U_100_200__R_inter;356
16x6_1_U_100_200__R_uni;361
16x6_2_JobCorre_R_inter;155
16x6_2_JobCorre_R_uni;192
16x6_2_MachCorre_R_inter;126
16x6_2_MachCorre_R_uni;53
16x6_2_U_1_100__R_inter;48
16x6_2_U_1_100__R_uni;55
16x6_2_U_10_100__R_inter;69
16x6_2_U_10_100__R_uni;74
16x6_2_U_100_200__R_inter;344
16x6_2_U_100_200__R_uni;343
16x6_3_JobCorre_R_inter;169
16x6_3_JobCorre_R_uni;166
16x6_3_MachCorre_R_inter;103
16x6_3_MachCorre_R_uni;169
16x6_3_U_1_100__R_inter;64
16x6_3_U_1_100__R_uni;50
16x6_3_U_10_100__R_inter;81
16x6_3_U_10_100__R_uni;65
16x6_3_U_100_200__R_inter;356
16x6_3_U_100_200__R_uni;334
16x6_4_JobCorre_R_inter;128
16x6_4_JobCorre_R_uni;135
16x6_4_MachCorre_R_inter;145
