Instance;min_sol;max_LB
12x6_4_MachCorre_R_uni;104;104
12x6_4_U_1_100__R_inter;44;44
12x6_4_U_1_100__R_uni;54;54
12x6_4_U_10_100__R_inter;54;54
12x6_4_U_10_100__R_uni;74;74
12x6_4_U_100_200__R_inter;249;249
12x6_4_U_100_200__R_uni;282;282
12x6_5_JobCorre_R_inter;159;159
12x6_5_JobCorre_R_uni;103;103
12x6_5_MachCorre_R_inter;187;187
12x6_5_MachCorre_R_uni;107;107
12x6_5_U_1_100__R_inter;51;51
12x6_5_U_1_100__R_uni;52;52
12x6_5_U_10_100__R_inter;65;65
12x6_5_U_10_100__R_uni;64;64
12x6_5_U_100_200__R_inter;251;251
12x6_5_U_100_200__R_uni;252;250
16x2_1_JobCorre_R_inter;561;432
16x2_1_JobCorre_R_uni;494;488
16x2_1_MachCorre_R_inter;421;413
16x2_1_MachCorre_R_uni;559;551
16x2_1_U_1_100__R_inter;332;332
16x2_1_U_1_100__R_uni;264;224
16x2_1_U_10_100__R_inter;357;313
16x2_1_U_10_100__R_uni;326;280
16x2_1_U_100_200__R_inter;1063;1063
16x2_1_U_100_200__R_uni;1182;1045
16x2_2_JobCorre_R_inter;422;409
16x2_2_JobCorre_R_uni;506;504
16x2_2_MachCorre_R_inter;1342;815
16x2_2_MachCorre_R_uni;368;361
16x2_2_U_1_100__R_inter;413;361
16x2_2_U_1_100__R_uni;289;289
16x2_2_U_10_100__R_inter;447;403
16x2_2_U_10_100__R_uni;340;340
16x2_2_U_100_200__R_inter;1208;1159
16x2_2_U_100_200__R_uni;1100;1100
16x2_3_JobCorre_R_inter;472;465
16x2_3_JobCorre_R_uni;545;541
16x2_3_MachCorre_R_inter;230;208
16x2_3_MachCorre_R_uni;220;204
16x2_3_U_1_100__R_inter;381;381
16x2_3_U_1_100__R_uni;276;268
16x2_3_U_10_100__R_inter;410;341
16x2_3_U_10_100__R_uni;322;317
16x2_3_U_100_200__R_inter;1110;1101
16x2_3_U_100_200__R_uni;1070;1070
16x2_4_JobCorre_R_inter;560;493
16x2_4_JobCorre_R_uni;440;434
16x2_4_MachCorre_R_inter;588;520
16x2_4_MachCorre_R_uni;213;201
16x2_4_U_1_100__R_inter;213;209
16x2_4_U_1_100__R_uni;325;288
16x2_4_U_10_100__R_inter;259;259
16x2_4_U_10_100__R_uni;372;332
16x2_4_U_100_200__R_inter;1005;1005
16x2_4_U_100_200__R_uni;1158;1103
16x2_5_JobCorre_R_inter;596;477
16x2_5_JobCorre_R_uni;358;357
16x2_5_MachCorre_R_inter;488;474
16x2_5_MachCorre_R_uni;660;659
16x2_5_U_1_100__R_inter;444;319
16x2_5_U_1_100__R_uni;251;251
16x2_5_U_10_100__R_inter;459;367
16x2_5_U_10_100__R_uni;305;305
16x2_5_U_100_200__R_inter;1126;1126
16x2_5_U_100_200__R_uni;1064;1064
16x4_1_JobCorre_R_inter;301;269
16x4_1_JobCorre_R_uni;216;211
16x4_1_MachCorre_R_inter;181;181
16x4_1_MachCorre_R_uni;140;140
16x4_1_U_1_100__R_inter;80;80
16x4_1_U_1_100__R_uni;90;90
16x4_1_U_10_100__R_inter;109;109
16x4_1_U_10_100__R_uni;121;121
16x4_1_U_100_200__R_inter;488;488
16x4_1_U_100_200__R_uni;508;508
16x4_2_JobCorre_R_inter;229;218
16x4_2_JobCorre_R_uni;253;242
16x4_2_MachCorre_R_inter;144;144
16x4_2_MachCorre_R_uni;222;222
16x4_2_U_1_100__R_inter;107;107
16x4_2_U_1_100__R_uni;117;117
16x4_2_U_10_100__R_inter;135;135
16x4_2_U_10_100__R_uni;148;145
16x4_2_U_100_200__R_inter;504;504
16x4_2_U_100_200__R_uni;533;520
16x4_3_JobCorre_R_inter;273;252
16x4_3_JobCorre_R_uni;227;227
16x4_3_MachCorre_R_inter;233;226
16x4_3_MachCorre_R_uni;85;85
16x4_3_U_1_100__R_inter;100;100
16x4_3_U_1_100__R_uni;82;80
16x4_3_U_10_100__R_inter;130;130
16x4_3_U_10_100__R_uni;118;106
16x4_3_U_100_200__R_inter;510;510
16x4_3_U_100_200__R_uni;505;498
16x4_4_JobCorre_R_inter;245;245
16x4_4_JobCorre_R_uni;193;193
16x4_4_MachCorre_R_inter;158;158
16x4_4_MachCorre_R_uni;114;114
16x4_4_U_1_100__R_inter;113;109
16x4_4_U_1_100__R_uni;74;74
16x4_4_U_10_100__R_inter;141;141
16x4_4_U_10_100__R_uni;114;114
16x4_4_U_100_200__R_inter;563;563
16x4_4_U_100_200__R_uni;549;527
16x4_5_JobCorre_R_inter;218;218
16x4_5_JobCorre_R_uni;252;248
16x4_5_MachCorre_R_inter;130;130
16x4_5_MachCorre_R_uni;183;181
16x4_5_U_1_100__R_inter;87;87
16x4_5_U_1_100__R_uni;106;99
16x4_5_U_10_100__R_inter;114;114
16x4_5_U_10_100__R_uni;128;123
16x4_5_U_100_200__R_inter;504;504
16x4_5_U_100_200__R_uni;512;498
16x6_1_JobCorre_R_inter;141;141
16x6_1_JobCorre_R_uni;147;144
16x6_1_MachCorre_R_inter;123;123
16x6_1_MachCorre_R_uni;115;115
